Q	RMSE	RMSE_x_y
0.01	0.75	[0.35575247 0.39288105]
0.02	0.75	[0.34585949 0.40569844]
0.03	0.76	[0.34439146 0.41676047]
0.04	0.77	[0.34509104 0.42611696]
0.05	0.78	[0.34658088 0.43419548]
0.06	0.79	[0.34838598 0.44129788]
0.07	0.80	[0.35030635 0.44763261]
0.08	0.81	[0.35224851 0.45334808]
0.09	0.81	[0.35416648 0.45855352]
0.1	0.82	[0.35603742 0.46333161]

0.1	0.82	[0.35603742 0.46333161]
0.2	0.87	[0.37151312 0.4970958 ]
0.3	0.90	[0.38260883 0.51821333]
0.4	0.92	[0.39117805 0.53362104]
0.5	0.94	[0.39816929 0.54578657]
0.6	0.96	[0.40408897 0.5558665 ]
0.7	0.97	[0.40923424 0.56449312]
0.8	0.99	[0.41379318 0.57204875]
0.9	1.00	[0.41789208 0.57878176]
1.0	1.01	[0.42161977 0.58486247]

1	1.01	[0.42161977 0.58486247]
2	1.07	[0.44751525 0.62641737]
3	1.12	[0.46360871 0.65207968]
4	1.15	[0.47530698 0.67085932]
5	1.17	[0.48446604 0.68569536]
6	1.19	[0.49196556 0.69794875]
7	1.21	[0.49829591 0.70837093]
8	1.22	[0.50375934 0.71742407]
9	1.23	[0.50855539 0.72541406]
10	1.25	[0.51282269 0.73255449]

10	1.25	[0.51282269 0.73255449]
20	1.32	[0.54017583 0.77878187]
30	1.36	[0.55555629 0.804792  ]
40	1.39	[0.56626414 0.82274411]
50	1.41	[0.57451475 0.83645477]
60	1.43	[0.58125839 0.84758123]
70	1.44	[0.58698468 0.85697927]
80	1.46	[0.59197734 0.86514318]
90	1.47	[0.59641493 0.87238213]
100	1.48	[0.60041693 0.87890148]
