Q	RMSE	RMSE_x_y
0.01	1.43	[0.60157706 0.8282073 ]
0.02	1.46	[0.61677241 0.84088997]
0.03	1.49	[0.63524751 0.85771561]
0.04	1.52	[0.65116579 0.87291416]
0.05	1.55	[0.66472653 0.8862717 ]
0.06	1.57	[0.67645231 0.89808636]
0.07	1.60	[0.68675982 0.90865652]
0.08	1.61	[0.6959525  0.91821999]
0.09	1.63	[0.70425111 0.92695908]
0.1	1.65	[0.71181912 0.93501353]

0.1	1.65	[0.71181912 0.93501353]
0.2	1.76	[0.76495196 0.99370629]
0.3	1.83	[0.7990091  1.03313083]
0.4	1.89	[0.82478887 1.06375482]
0.5	1.94	[0.84583847 1.08917022]
0.6	1.97	[0.86377972 1.11107783]
0.7	2.01	[0.87949863 1.13043425]
0.8	2.04	[0.8935368  1.14783801]
0.9	2.07	[0.90625196 1.16369168]
1.0	2.10	[0.91789419 1.1782805 ]

1	2.10	[0.91789419 1.1782805 ]
2	2.29	[1.00086931 1.28429688]
3	2.41	[1.05441985 1.35473442]
4	2.50	[1.0944939  1.40849731]
5	2.58	[1.12666506 1.4522701 ]
6	2.64	[1.15359239 1.48929223]
7	2.70	[1.17676682 1.52141146]
8	2.75	[1.19711371 1.54979354]
9	2.79	[1.21524924 1.57522584]
10	2.83	[1.23160553 1.59826702]

10	2.83	[1.23160553 1.59826702]
20	3.10	[1.34126391 1.75510626]
30	3.26	[1.40576662 1.84968672]
40	3.37	[1.45095128 1.91768482]
50	3.46	[1.48537681 1.97035244]
60	3.53	[1.51297199 2.01258915]
70	3.58	[1.53587124 2.04730676]
80	3.63	[1.55536223 2.07653647]
90	3.67	[1.57227993 2.10172971]
100	3.71	[1.58719527 2.12391462]
