Q	RMSE	RMSE_x_y
0.01	7.80	[3.42008538 4.38389425]
0.02	6.77	[2.96844337 3.80441242]
0.03	6.25	[2.76168296 3.49026191]
0.04	5.92	[2.63053458 3.28763567]
0.05	5.68	[2.53960943 3.14461728]
0.06	5.51	[2.47313109 3.03744119]
0.07	5.38	[2.42195692 2.9534252 ]
0.08	5.27	[2.38065435 2.88524892]
0.09	5.17	[2.34593978 2.82841209]
0.1	5.10	[2.31577335 2.77999636]

0.1	5.10	[2.31577335 2.77999636]
0.2	4.62	[2.111724   2.50683739]
0.3	4.35	[1.97273121 2.37433214]
0.4	4.16	[1.86768148 2.29069626]
0.5	4.02	[1.78689257 2.23219943]
0.6	3.91	[1.72375795 2.1889649 ]
0.7	3.83	[1.67352578 2.15586024]
0.8	3.76	[1.63283452 2.12986769]
0.9	3.71	[1.5993215  2.10907246]
1.0	3.66	[1.57131573 2.09219539]

1	3.66	[1.57131573 2.09219539]
2	3.46	[1.43475035 2.02300135]
3	3.41	[1.39267561 2.01726424]
4	3.41	[1.37863602 2.02868578]
5	3.42	[1.37587554 2.04577005]
6	3.44	[1.37826326 2.06447125]
7	3.47	[1.38312086 2.08315848]
8	3.49	[1.38915077 2.1011477 ]
9	3.51	[1.39568277 2.11816729]
10	3.54	[1.40235737 2.13413593]

10	3.54	[1.40235737 2.13413593]
20	3.71	[1.45880136 2.24685553]
30	3.81	[1.49667619 2.31090651]
40	3.88	[1.52454283 2.35347595]
50	3.93	[1.54679709 2.38503734]
60	3.98	[1.56551557 2.41022951]
70	4.01	[1.58179338 2.43137991]
80	4.05	[1.59626992 2.4497717 ]
90	4.08	[1.60935054 2.4661674 ]
100	4.10	[1.62130952 2.48105022]
