Q	RMSE	RMSE_x_y
0.01	8.19	[3.36831086 4.82525173]
0.02	7.11	[2.98786323 4.11985615]
0.03	6.56	[2.83454705 3.72634024]
0.04	6.22	[2.74886834 3.46743444]
0.05	5.98	[2.69480069 3.28277458]
0.06	5.80	[2.65778267 3.14396428]
0.07	5.67	[2.6303381  3.03531713]
0.08	5.56	[2.60837357 2.94748223]
0.09	5.46	[2.58960252 2.87459772]
0.1	5.39	[2.57272828 2.81282443]

0.1	5.39	[2.57272828 2.81282443]
0.2	4.90	[2.43174114 2.47043135]
0.3	4.61	[2.30972284 2.30245065]
0.4	4.40	[2.20763062 2.18915596]
0.5	4.23	[2.12408464 2.1033262 ]
0.6	4.09	[2.05552567 2.03499512]
0.7	3.98	[1.99847657 1.9792132 ]
0.8	3.88	[1.95018928 1.93294244]
0.9	3.80	[1.90864526 1.89408258]
1.0	3.73	[1.87238853 1.86109864]

1	3.73	[1.87238853 1.86109864]
2	3.35	[1.657475   1.69356391]
3	3.19	[1.55266734 1.6374484 ]
4	3.10	[1.48843816 1.61551436]
5	3.05	[1.44457331 1.60810048]
6	3.02	[1.41264426 1.60798394]
7	3.00	[1.38841612 1.61191593]
8	2.99	[1.36949302 1.61823216]
9	2.98	[1.35440228 1.62599983]
10	2.98	[1.34218127 1.63466106]

10	2.98	[1.34218127 1.63466106]
20	3.02	[1.29211928 1.72975314]
30	3.10	[1.28698652 1.81287699]
40	3.18	[1.29353406 1.88188954]
50	3.24	[1.30395804 1.94002734]
60	3.31	[1.31562691 1.98989295]
70	3.36	[1.32749897 2.03334258]
80	3.41	[1.33913278 2.07170645]
90	3.46	[1.35034256 2.10595998]
100	3.50	[1.36105958 2.13683606]
