Q	RMSE	RMSE_x_y
0.01	1.17	[0.50237342 0.66402966]
0.02	0.91	[0.42576459 0.48552679]
0.03	0.80	[0.39402328 0.40953334]
0.04	0.75	[0.38173209 0.36777039]
0.05	0.72	[0.38093464 0.34190733]
0.06	0.71	[0.38764839 0.32476092]
0.07	0.71	[0.39944425 0.31294827]
0.08	0.72	[0.41471339 0.30467687]
0.09	0.73	[0.43235233 0.29891034]
0.1	0.75	[0.45159146 0.29500594]

0.1	0.75	[0.45159146 0.29500594]
0.2	0.97	[0.66364042 0.30439692]
0.3	1.20	[0.85698669 0.3459761 ]
0.4	1.42	[1.02492339 0.3951659 ]
0.5	1.62	[1.17321941 0.44570729]
0.6	1.80	[1.30674865 0.49578573]
0.7	1.97	[1.42849779 0.54459455]
0.8	2.13	[1.53977263 0.59155522]
0.9	2.28	[1.639817   0.63611623]
1.0	2.40	[1.7245267  0.67462258]

1	2.40	[1.7245267  0.67462258]
2	3.38	[2.36900162 1.00733134]
3	4.04	[2.78858908 1.25317876]
4	4.57	[3.10461674 1.4698421 ]
5	5.03	[3.36749254 1.66168456]
6	5.44	[3.61438089 1.82883043]
7	5.82	[3.81548213 2.00687362]
8	6.12	[3.97490712 2.14196689]
9	6.30	[4.07024019 2.22578736]
10	6.52	[4.19715168 2.32777374]

10	6.52	[4.19715168 2.32777374]
20	8.13	[5.08336669 3.05087562]
30	9.19	[5.62192307 3.57144513]
40	9.81	[5.9807981  3.83125058]
50	10.43	[6.26470459 4.16051334]
60	10.92	[6.50901324 4.41284207]
70	11.34	[6.72378542 4.61951893]
80	11.69	[6.89495783 4.79212667]
90	11.76	[6.96634366 4.78989116]
100	12.28	[7.1784762  5.09748397]
