Q	RMSE	RMSE_x_y
0.01	3.25	[2.09491063 1.1535846 ]
0.02	3.32	[2.18517948 1.13838844]
0.03	3.51	[2.33872623 1.17314516]
0.04	3.71	[2.49559989 1.21015964]
0.05	3.90	[2.65253483 1.24928305]
0.06	4.10	[2.80707369 1.28836033]
0.07	4.28	[2.95418192 1.32649053]
0.08	4.45	[3.08931139 1.3623842 ]
0.09	4.61	[3.21534026 1.39385958]
0.1	4.76	[3.33484226 1.42073589]

0.1	4.76	[3.33484226 1.42073589]
0.2	5.92	[4.3554008  1.56232468]
0.3	6.70	[5.05243112 1.64787803]
0.4	7.28	[5.62482619 1.65786079]
0.5	7.24	[5.51473425 1.72287674]
0.6	8.02	[6.34820766 1.67293299]
0.7	8.33	[6.60364053 1.72508553]
0.8	8.23	[6.58989953 1.63512421]
0.9	8.80	[7.16145309 1.64326978]
1.0	9.18	[7.48751623 1.68793448]

1	9.18	[7.48751623 1.68793448]
2	13.33	[9.95054758 3.38080965]
3	17.20	[11.68842952  5.51377024]
4	19.47	[12.73153825  6.73781218]
5	22.23	[13.67786353  8.55678638]
6	24.17	[14.32469342  9.84721726]
7	26.05	[14.94626902 11.10581646]
8	28.32	[15.62025983 12.69793109]
9	27.79	[15.56640408 12.22099621]
10	28.21	[15.87800146 12.32791287]

10	28.21	[15.87800146 12.32791287]
20	38.30	[18.845709   19.45431165]
30	38.20	[19.87320393 18.32197011]
40	43.64	[20.01756321 23.62717628]
50	51.79	[21.32248522 30.47215362]
60	50.33	[22.37265649 27.95524485]
70	52.35	[22.91636438 29.43648348]
80	55.28	[23.31396286 31.966026  ]
90	58.61	[23.5077367  35.10096881]
100	63.40	[24.16818163 39.23231701]
