Q	RMSE	RMSE_x_y
0.01	2.67	[1.45383883 1.21966519]
0.02	2.95	[1.62507462 1.32767135]
0.03	3.22	[1.8303021  1.38606229]
0.04	3.46	[2.02344138 1.43189277]
0.05	3.68	[2.2008149  1.47591191]
0.06	3.88	[2.36320005 1.5195491 ]
0.07	4.07	[2.51189175 1.56268357]
0.08	4.25	[2.64809236 1.60502267]
0.09	4.42	[2.77284861 1.64642282]
0.1	4.57	[2.88716663 1.68688799]

0.1	4.57	[2.88716663 1.68688799]
0.2	5.69	[3.73211038 1.95310812]
0.3	6.47	[4.52067136 1.94786369]
0.4	7.05	[5.03468477 2.01831968]
0.5	7.43	[5.36817786 2.06327954]
0.6	7.93	[5.91570825 2.01165498]
0.7	8.31	[6.29410864 2.01768947]
0.8	8.59	[6.62476708 1.9658174 ]
0.9	8.90	[6.91428923 1.98921937]
1.0	9.21	[7.16543443 2.04422601]

1	9.21	[7.16543443 2.04422601]
2	12.36	[8.9064874  3.45486837]
3	16.12	[10.52871084  5.59508995]
4	21.62	[12.72369619  8.89262887]
5	22.02	[12.8768911   9.14506634]
6	27.16	[14.82560887 12.33610007]
7	25.27	[14.29024856 10.98243957]
8	28.51	[14.81319729 13.70127297]
9	29.94	[16.20144728 13.73947743]
10	34.35	[16.85943413 17.48896047]

10	34.35	[16.85943413 17.48896047]
20	46.00	[20.2787146  25.72420553]
30	48.87	[21.27586108 27.59401908]
40	49.98	[21.57906384 28.4058504 ]
50	53.19	[24.32472563 28.86081669]
60	55.36	[23.77775444 31.58160817]
70	62.78	[24.30978971 38.47069014]
80	65.99	[24.07225123 41.9140048 ]
90	64.59	[24.55423741 40.04016259]
100	68.08	[24.60383756 43.48106944]
