Q	RMSE	RMSE_x_y
0.01	19.42	[ 4.20379034 15.21919387]
0.02	11.83	[2.55340091 9.27359559]
0.03	8.76	[1.92835118 6.83188906]
0.04	7.07	[1.59786173 5.46997247]
0.05	5.99	[1.39639964 4.59639944]
0.06	5.25	[1.26373939 3.98810263]
0.07	4.71	[1.17215456 3.5406173 ]
0.08	4.31	[1.10692984 3.1980862 ]
0.09	3.99	[1.05948142 2.92781794]
0.1	3.73	[1.02445843 2.70937585]

0.1	3.73	[1.02445843 2.70937585]
0.2	2.64	[0.92926634 1.70792203]
0.3	2.31	[0.94175094 1.36836988]
0.4	2.16	[0.96459938 1.19570089]
0.5	2.08	[0.98627801 1.0898674 ]
0.6	2.02	[1.00507526 1.01766609]
0.7	1.99	[1.02102094 0.96488612]
0.8	1.96	[1.03447891 0.92439859]
0.9	1.94	[1.04583858 0.89221699]
1.0	1.92	[1.05544539 0.86593062]

1	1.92	[1.05544539 0.86593062]
2	1.84	[1.0998283  0.73812695]
3	1.80	[1.10998058 0.69020108]
4	1.78	[1.11311963 0.66630641]
5	1.77	[1.11646584 0.65387639]
6	1.77	[1.11998788 0.64757204]
7	1.77	[1.12404683 0.64521973]
8	1.77	[1.12895667 0.64553568]
9	1.78	[1.13438658 0.64765618]
10	1.79	[1.14009104 0.65100977]

10	1.79	[1.14009104 0.65100977]
20	1.90	[1.19680011 0.70687559]
30	2.01	[1.24291164 0.7645896 ]
40	2.09	[1.27903654 0.81310675]
50	2.16	[1.30828881 0.85306719]
60	2.22	[1.33325407 0.88812761]
70	2.28	[1.35658773 0.92069635]
80	2.33	[1.38102107 0.95210728]
90	2.32	[1.37933176 0.94090197]
100	2.36	[1.40289236 0.96117143]
