Q	RMSE	RMSE_x_y
0.01	1.72	[0.70110984 1.01632863]
0.02	1.75	[0.70307524 1.04387073]
0.03	1.78	[0.71394976 1.06786544]
0.04	1.81	[0.72532928 1.08759422]
0.05	1.84	[0.73594498 1.10408145]
0.06	1.86	[0.74562174 1.11813808]
0.07	1.88	[0.75441831 1.13033314]
0.08	1.90	[0.76243984 1.14106812]
0.09	1.92	[0.76979028 1.15063318]
0.1	1.94	[0.77656071 1.15924348]

0.1	1.94	[0.77656071 1.15924348]
0.2	2.04	[0.82444751 1.21628914]
0.30000000000000004	2.10	[0.85403881 1.25000403]
0.4	2.15	[0.87528717 1.27501605]
0.5	2.19	[0.8917907  1.29619179]
0.6000000000000001	2.22	[0.90524775 1.31595293]
0.7000000000000001	2.25	[0.91659242 1.33602782]
0.8	2.28	[0.92639205 1.35824355]
0.9	2.32	[0.93501624 1.38537183]
1.0	2.37	[0.94272003 1.42296708]

1	2.37	[0.94272003 1.42296708]
2	3.20	[0.99344077 2.20822937]
3	3.27	[1.02386013 2.24900676]
4	3.33	[1.04606161 2.28148085]
5	3.37	[1.06372345 2.30819309]
6	3.41	[1.07847335 2.33109986]
7	3.44	[1.09118637 2.35127447]
8	3.47	[1.10239137 2.36937033]
9	3.50	[1.11243377 2.38582021]
10	3.52	[1.12155207 2.40092801]

10	3.52	[1.12155207 2.40092801]
20	3.69	[1.18545262 2.50953001]
30	3.81	[1.22693154 2.57999479]
40	3.89	[1.25869051 2.63347262]
50	3.96	[1.28480391 2.67863693]
60	4.03	[1.30715073 2.7198097 ]
70	4.09	[1.32677332 2.75886706]
80	4.14	[1.34431876 2.79643263]
90	4.19	[1.36022036 2.83262033]
100	4.24	[1.37478439 2.86735435]
