Q	RMSE	RMSE_x_y
0.01	5.95	[2.72375766 3.22771562]
0.02	5.09	[2.40708365 2.68124887]
0.03	4.60	[2.21596297 2.38732317]
0.04	4.27	[2.07662465 2.1920102 ]
0.05	4.02	[1.9669482  2.04897588]
0.06	3.81	[1.87682678 1.93797629]
0.07	3.65	[1.80065888 1.84837389]
0.08	3.51	[1.7349696 1.773922 ]
0.09	3.39	[1.6774378  1.71066802]
0.1	3.28	[1.62642992 1.65597148]

0.1	3.28	[1.62642992 1.65597148]
0.2	2.65	[1.30859334 1.33752194]
0.3	2.32	[1.14245856 1.18222487]
0.4	2.12	[1.03520561 1.0857999 ]
0.5	1.98	[0.9584445  1.01913524]
0.6	1.87	[0.90001842 0.97005435]
0.7	1.79	[0.85368385 0.93237055]
0.8	1.72	[0.81584102 0.90255023]
0.9	1.66	[0.78424059 0.87840777]
1.0	1.62	[0.75739118 0.85850996]

1	1.62	[0.75739118 0.85850996]
2	1.38	[0.61393235 0.76555476]
3	1.29	[0.55564702 0.73837143]
4	1.25	[0.52464057 0.7289003 ]
5	1.23	[0.5058503  0.72608656]
6	1.22	[0.49353363 0.72617764]
7	1.21	[0.4850268  0.72762802]
8	1.21	[0.47893137 0.72972318]
9	1.21	[0.47444672 0.73210759]
10	1.21	[0.47108388 0.73459609]

10	1.21	[0.47108388 0.73459609]
20	1.22	[0.46117035 0.75606011]
30	1.23	[0.4628018  0.77068155]
40	1.25	[0.46651842 0.78172701]
50	1.26	[0.47071959 0.79083596]
60	1.27	[0.47496251 0.79875309]
70	1.28	[0.47909784 0.80585659]
80	1.30	[0.48307339 0.81235968]
90	1.31	[0.4868744  0.81839352]
100	1.31	[0.49050161 0.82404479]
