Q	RMSE	RMSE_x_y
0.01	21218.06	[ 3076.13846339 18141.92007507]
0.02	18079.10	[ 3816.58953694 14262.51083173]
0.03	15872.93	[ 4114.56467465 11758.36678941]
0.04	12937.82	[4624.26933396 8313.5472513 ]
0.05	1640.80	[ 259.56509126 1381.23033706]
0.06	1404.24	[ 125.79597798 1278.44864309]
0.07	1339.55	[ 118.57448288 1220.97626474]
0.08	1543.69	[ 316.49640255 1227.18962206]
0.09	1280.40	[ 133.20550766 1147.19611152]
0.1	2529.17	[ 427.34708354 2101.81880334]

0.1	2529.17	[ 427.34708354 2101.81880334]
0.2	3978.88	[1426.52015899 2552.36001562]
0.3	5405.24	[2315.41217706 3089.83241632]
0.4	6371.12	[4952.46542147 1418.65783675]
0.5	5654.08	[2927.48730793 2726.59575123]
0.6	5728.90	[4362.14806049 1366.75432953]
0.7	6947.56	[5837.92847845 1109.63444678]
0.8	8112.92	[5126.69029829 2986.22759766]
0.9	7491.82	[4424.48638202 3067.3341963 ]
1.0	6775.53	[5399.06888114 1376.46321558]

1	6775.53	[5399.06888114 1376.46321558]
2	8715.10	[4821.27110845 3893.82996413]
3	9836.42	[5025.82311388 4810.59426577]
4	9158.20	[2926.76140487 6231.43661821]
5	9178.76	[2337.80282216 6840.95863464]
6	10155.57	[2957.50045636 7198.0691743 ]
7	12282.44	[5450.33904121 6832.10263093]
8	13161.33	[8809.35092788 4351.98244007]
9	9352.07	[3245.34680662 6106.72783084]
10	15.06	[ 4.41306416 10.64530933]

10	15.06	[ 4.41306416 10.64530933]
20	33.27	[12.57790901 20.68877396]
30	8.28	[4.35827306 3.92134441]       ???
40	12308.42	[6181.40981854 6127.00975226]
50	8407.31	[3560.85877496 4846.45504428]
60	14262.35	[9306.94764762 4955.39747804]
70	19623.66	[ 2017.99312937 17605.66989419]
80	21095.56	[ 6353.76212889 14741.79920658]
90	9913.62	[6419.55439729 3494.06796169]
100	19066.00	[ 5262.44713805 13803.55072954]
