Q	RMSE	RMSE_x_y
0.01	62.88	[23.23740071 39.64043051]
0.02	61.67	[18.81955092 42.84548129]
0.03	66.93	[17.7349214  49.19831281]
0.04	50.09	[11.58945113 38.496819  ]
0.05	49.73	[10.29830838 39.43384665]
0.06	46.27	[ 9.09721374 37.17714644]
0.07	53.52	[10.49473174 43.02685239]
0.08	38.05	[ 8.58900792 29.4593675 ]
0.09	18.71	[ 4.44593214 14.25937818]
0.1	12.95	[3.2321068  9.71298057]

0.1	12.95	[3.2321068  9.71298057]
0.2	5.76	[1.85351539 3.90897195]
0.3	4.84	[1.7872106  3.05503977]
0.4	4.49	[1.8247614  2.66808715]
0.5	4.33	[1.87967654 2.44714562]
0.6	4.24	[1.93225256 2.30805156]
0.7	4.19	[1.97829623 2.21472382]
0.8	4.17	[2.01782661 2.14917661]
0.9	4.15	[2.05185074 2.10166066]
1.0	4.15	[2.08139863 2.06667482]

1	4.15	[2.08139863 2.06667482]
2	4.28	[2.25176643 2.02818082]
3	4.45	[2.35991932 2.09230133]
4	4.65	[2.44098417 2.20474158]
5	4.66	[2.52411189 2.14008349]
6	4.69	[2.59370448 2.09372892]
7	4.79	[2.63591833 2.156928  ]
8	4.96	[2.67134006 2.28781541]
9	5.11	[2.70659293 2.40046098]
10	5.30	[2.74907264 2.55419668]

10	5.30	[2.74907264 2.55419668]
20	5.70	[2.94200004 2.75497649]
30	6.02	[3.02114469 2.99489503]
40	6.35	[3.04111463 3.30804278]
50	6.85	[3.14956985 3.69637755]
60	7.33	[3.28122937 4.04895037]
70	7.12	[3.18329296 3.93529323]
80	7.74	[3.4758867  4.26895268]
90	41.97	[33.38018037  8.5906039 ]
100	120.95	[97.98686922 22.96642896]
